,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
255,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.7,555.2116758880333
256,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.35,455.4512114629524
257,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.35,474.5537074131521
258,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.35,481.91501905640433
259,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.35,483.3539441644389
260,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.65,474.31517089133513
261,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.65,509.1355108034168
262,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.65,530.7014556756918
263,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.65,544.7807457381698
264,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.4,458.6160320337751
265,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.4,480.3555224118095
266,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.4,490.0999559873833
267,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.4,493.6595645702953
268,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.6,471.1503503205124
269,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.6,503.3336958047594
270,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.6,522.5165187447128
271,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.6,534.4751253323134
272,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.45,461.75579069502703
273,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.45,486.1113933957624
274,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.45,498.22007719038766
275,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.45,503.88357575979865
276,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.55,468.0105916592605
277,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.55,497.5778248208064
278,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.55,514.3963975417084
279,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.55,524.25111414281
280,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.5,464.8831911771438
281,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.5,491.8446091082844
282,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.5,506.3082373660481
283,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.5,514.0673449513043
284,2023-12-27,ILI incidence,2023-12-24,1,HU,median,,464.8831911771438
285,2023-12-27,ILI incidence,2023-12-31,2,HU,median,,491.8446091082844
286,2023-12-27,ILI incidence,2024-01-07,3,HU,median,,506.3082373660481
287,2023-12-27,ILI incidence,2024-01-14,4,HU,median,,514.0673449513043
288,2023-12-27,ILI incidence,2023-12-24,1,LT,quantile,0.01,36.17651383017412
289,2023-12-27,ILI incidence,2023-12-31,2,LT,quantile,0.01,29.00648516691003
290,2023-12-27,ILI incidence,2024-01-07,3,LT,quantile,0.01,14.38443452103362
291,2023-12-27,ILI incidence,2024-01-14,4,LT,quantile,0.01,2.0336976124768853
292,2023-12-27,ILI incidence,2023-12-24,1,LT,quantile,0.99,54.6775114598631
293,2023-12-27,ILI incidence,2023-12-31,2,LT,quantile,0.99,69.12855132052658
294,2023-12-27,ILI incidence,2024-01-07,3,LT,quantile,0.99,75.69775015028998
295,2023-12-27,ILI incidence,2024-01-14,4,LT,quantile,0.99,74.98177667923827
296,2023-12-27,ILI incidence,2023-12-24,1,LT,quantile,0.025,36.501985257109865
297,2023-12-27,ILI incidence,2023-12-31,2,LT,quantile,0.025,29.712316624434937
298,2023-12-27,ILI incidence,2024-01-07,3,LT,quantile,0.025,15.463064588851845
299,2023-12-27,ILI incidence,2024-01-14,4,LT,quantile,0.025,3.317007618850852
300,2023-12-27,ILI incidence,2023-12-24,1,LT,quantile,0.975,54.35204003292735
301,2023-12-27,ILI incidence,2023-12-31,2,LT,quantile,0.975,68.42271986300167
302,2023-12-27,ILI incidence,2024-01-07,3,LT,quantile,0.975,74.61912008247177
303,2023-12-27,ILI incidence,2024-01-14,4,LT,quantile,0.975,73.6984666728643
304,2023-12-27,ILI incidence,2023-12-24,1,LT,quantile,0.05,37.03408158099189
305,2023-12-27,ILI incidence,2023-12-31,2,LT,quantile,0.05,30.8662437982124
306,2023-12-27,ILI incidence,2024-01-07,3,LT,quantile,0.05,17.22646083938657
307,2023-12-27,ILI incidence,2024-01-14,4,LT,quantile,0.05,5.415024465433802
308,2023-12-27,ILI incidence,2023-12-24,1,LT,quantile,0.95,53.819943709045326
309,2023-12-27,ILI incidence,2023-12-31,2,LT,quantile,0.95,67.2687926892242
310,2023-12-27,ILI incidence,2024-01-07,3,LT,quantile,0.95,72.85572383193704
